AAPL.O,MSFT.O,AMZN.O,JPM.N,V.N,JNJ.N,WMT.N,BAC.N,BRK_B.N,XOM.N,turnover,transaction_cost,gross_log_return,net_log_return
0.10001508705127155,0.09967009140064784,0.35,6.42899085386727e-19,0.09999543718466881,0.09999550903271691,0.09999174597280532,7.751208666442457e-19,0.09999848381085084,0.05033364554703879,1.4388456791580867e-06,1.4388456791580867e-09,-0.017477831528616657,-0.017477832967462335
0.1000157071793836,0.09967008268292187,0.35,6.428235902334227e-19,0.0999954310980403,0.09999524514155823,0.09999173937779768,7.73805983192731e-19,0.09999842320842553,0.050333371311872856,1.2402562241109486e-06,1.2402562241109486e-09,0.009329604137512663,0.009329602897256439
0.1000159879581687,0.09967007708220664,0.35,6.420356966325407e-19,0.09999542683880772,0.09999520963995735,0.09999172609448871,7.727909224824575e-19,0.09999841772462431,0.05033315466174668,5.615575701389837e-07,5.615575701389837e-10,-0.06791309120287121,-0.06791309176442878
0.10001603199186337,0.09967007239670439,0.35,6.420251558412023e-19,0.09999542722934121,0.09999519609932865,0.09999172294565799,7.727619108758893e-19,0.09999840920129098,0.050333140135813526,8.884845633522213e-08,8.884845633522214e-11,0.02718974224991443,0.027189742161065972
0.1000160791936154,0.0996700660486904,0.35,6.420195448093085e-19,0.09999542803801753,0.09999518213482947,0.09999171821409926,7.727395525454475e-19,0.09999840111001392,0.050333125260734156,9.60208566755383e-08,9.602085667553831e-11,-0.03655043788096659,-0.03655043797698745
0.10001610619900622,0.09967006267522188,0.3499999999999999,6.420049623631983e-19,0.09999542906089011,0.09999517388185522,0.09999171492884172,7.727226230286942e-19,0.09999839653148376,0.05033311672270102,5.605652705215072e-08,5.6056527052150716e-11,0.033874872484659736,0.03387487242860321
0.10001614485813512,0.09967005784283631,0.35,6.419871598009275e-19,0.09999542901796729,0.09999516315124746,0.09999170913616545,7.726980669179575e-19,0.09999838995993032,0.05033310603371807,7.731825776846618e-08,7.731825776846618e-11,0.0017295788953337052,0.0017295788180154475
0.10001628319558271,0.09967004703693282,0.35000000000000003,6.419147438335664e-19,0.09999542802275266,0.09999511660586709,0.09999169323854937,7.725844553089436e-19,0.0999983684207592,0.05033306347955626,2.7667489516797227e-07,2.766748951679723e-10,-0.008197041918724713,-0.008197042195399608
0.10001649215310231,0.09967004089362405,0.3499999999999999,6.419108305803664e-19,0.09999541766311593,0.09999505371268397,0.09999165866399068,7.726150197685689e-19,0.09999832828779842,0.050333008625684586,4.1791503945648456e-07,4.1791503945648456e-10,0.012213343304735658,0.012213342886820619
0.10001663461417817,0.09967003148180902,0.35,6.418377338660105e-19,0.09999541626830322,0.09999500487738135,0.09999163651992932,7.725159490406126e-19,0.09999830626571737,0.050332969972681676,2.8492215160824695e-07,2.8492215160824694e-10,0.022940380995495276,0.022940380710573124
